year,gender,count,total,ratio
2010,male,16127,20253,0.7962770947513949
2010,female,4126,20253,0.20372290524860515
2011,male,20958,27003,0.7761359848905677
2011,female,6045,27003,0.2238640151094323
2012,male,23338,30188,0.7730886444945011
2012,female,6850,30188,0.22691135550549887
2013,male,23576,30888,0.7632737632737633
2013,female,7312,30888,0.23672623672623672
2014,male,23323,31108,0.7497428314259997
2014,female,7785,31108,0.25025716857400027
2015,male,24181,32010,0.7554201811933771
2015,female,7829,32010,0.24457981880662294
