program,proj_gender,paper_gender,count_all,ratio_all,ratio_first,ratio_last,gender_comp
H,male,male,118990,0.6462141701152422,0.6132856730534402,0.7612658574844281,male_male
H,female,female,34782,0.452678431985007,0.5382503364737551,0.5396801729600775,female_female
D,male,male,98978,0.7293453591534765,0.7069594912859162,0.7780608874544666,male_male
D,female,female,10519,0.3346695937132131,0.43743743743743746,0.35953026196928634,female_female
E,male,male,194173,0.7825233641093429,0.7740242858501633,0.8379525286911913,male_male
E,female,female,14260,0.2941297801245823,0.3768913342503439,0.31239951278928135,female_female
B,male,male,47046,0.6919343452170844,0.6518867413783769,0.7960423475913031,male_male
B,female,female,9201,0.4214841960604672,0.4979159430357763,0.49091745228788225,female_female
C,male,male,88708,0.656590478446234,0.6126239138416351,0.7622147186851633,male_male
C,female,female,20863,0.42180708032591335,0.5032861476238625,0.4992183137911781,female_female
F,male,male,106987,0.7533022587731651,0.7290002060486733,0.8122965698547822,male_male
F,female,female,8902,0.3147696333227255,0.3628642208328418,0.35217254408060455,female_female
A,male,male,58914,0.7749089139384693,0.7420916720464816,0.8341942869907576,male_male
A,female,female,6039,0.38318527918781725,0.46926623127160966,0.4578201562706926,female_female
G,male,male,42326,0.6487439265515075,0.6734911701921211,0.6914654056184203,male_male
G,female,female,6896,0.37863064843792893,0.43584229390681006,0.4084654973217099,female_female
