program,proj_gender,paper_gender,count_all,ratio_all,ratio_first,ratio_last,gender_comp,Department
H,male,male,93381,0.5890616621983914,0.5405191516302628,0.6668812773628637,male_male,HS
H,female,female,23923,0.3625960562014035,0.4216063119563018,0.37244256999282127,female_female,HS
D,male,male,86440,0.7017942680847609,0.6559875583203733,0.7515290519877675,male_male,Earth
D,female,female,7164,0.2551645533551788,0.3063869176180191,0.2762538837106081,female_female,Earth
E,male,male,170134,0.7591946380601344,0.7348696202060782,0.8188990622832849,male_male,EMS
E,female,female,8970,0.20767734765697352,0.2316671655193056,0.2221520984537709,female_female,EMS
B,male,male,35039,0.6258640707332321,0.5741721854304636,0.7041078305519898,male_male,Chem
B,female,female,5478,0.3025349312420611,0.3541108132260947,0.299009612583746,female_female,Chem
C,male,male,70366,0.6026446960483719,0.5404022070567737,0.6774698795180722,male_male,LS
C,female,female,13919,0.32737493237998916,0.38214023687244525,0.3314807463279079,female_female,LS
F,male,male,91364,0.7228107372568255,0.6922896953311843,0.7819970419289375,male_male,CIS
F,female,female,5568,0.2231931695193811,0.24944413563090606,0.24244798467833203,female_female,CIS
A,male,male,45586,0.727061037656103,0.6740438551759307,0.7751489538589441,male_male,MPS
A,female,female,3081,0.24066552101234182,0.2871517027863777,0.26448195961602117,female_female,MPS
G,male,male,36693,0.615551082033216,0.6164149330293531,0.6664813622798291,male_male,MS
G,female,female,5087,0.3101072909046574,0.3073707370737074,0.3503746143675628,female_female,MS
